,# LQR Iterations,EMPC Forward Pass,EMPC Backward Pass,Autodiff Forward Pass,Autodiff Backward Pass
0,1,0.01591467857,0.02516770363,0.02856564522,0.05157923698
1,1,0.01866817474,0.02605557442,0.02667450905,0.04948425293
2,1,0.01863217354,0.024777174,0.02699828148,0.05862283707
3,1,0.01886820793,0.02441978455,0.02874588966,0.05223584175
4,1,0.01899290085,0.0245141983,0.03826475143,0.05397224426
5,1,0.01848006248,0.02471518517,0.02838230133,0.05311655998
6,1,0.018481493,0.02453708649,0.02870750427,0.05339002609
7,1,0.01885080338,0.02451276779,0.02860975266,0.05334949493
8,1,0.01844739914,0.02460646629,0.02900290489,0.05375170708
9,2,0.052754879,0.02486681938,0.09671902657,0.08304548264
10,2,0.05198144913,0.02463722229,0.07840299606,0.08265542984
11,2,0.04898118973,0.02485704422,0.08238863945,0.08379268646
12,2,0.04898738861,0.02465820313,0.08179306984,0.08205389977
13,2,0.05196213722,0.02453708649,0.07981324196,0.08807992935
14,2,0.04881167412,0.02474570274,0.07986426353,0.08453774452
15,2,0.05245018005,0.02438211441,0.07395410538,0.08324742317
16,2,0.0495634079,0.02482628822,0.07801055908,0.08386683464
17,2,0.05259537697,0.02435469627,0.09844708443,0.1013228893
18,4,0.09085083008,0.01536345482,0.1815645695,0.2034864426
19,4,0.09561395645,0.01528501511,0.1806261539,0.1469471455
20,4,0.1163518429,0.01533460617,0.2016260624,0.1446168423
21,4,0.1200325489,0.0174612999,0.1801681519,0.1480233669
22,4,0.1163775921,0.01744222641,0.1897895336,0.1468443871
23,4,0.1162259579,0.01761031151,0.1901812553,0.1461746693
24,4,0.116568327,0.02412009239,0.1948719025,0.1504206657
25,4,0.1148097515,0.01555538177,0.1869533062,0.1474523544
26,4,0.1119420528,0.01543307304,0.1909651756,0.1504149437
27,8,0.2268130779,0.01544308662,0.3165903091,0.2915172577
28,8,0.2292523384,0.01531076431,0.3302059174,0.3025853634
29,8,0.2284595966,0.01540017128,0.3486561775,0.3083622456
30,8,0.2189104557,0.01538181305,0.3292064667,0.3146135807
31,8,0.2268126011,0.01520466805,0.3483290672,0.3125674725
32,8,0.1714680195,0.01540470123,0.324688673,0.3075475693
33,8,0.1541826725,0.01786589622,0.3371078968,0.3018796444
34,8,0.1913535595,0.01542472839,0.3296048641,0.3110318184
35,8,0.2211637497,0.01529669762,0.3313908577,0.3293159008
36,16,0.4032616615,0.01529526711,0.6155819893,0.6112010479
37,16,0.4242737293,0.01539325714,0.6386871338,0.6332638264
38,16,0.4465734959,0.01527667046,0.7011971474,0.6600949764
39,16,0.4025564194,0.01559686661,0.6459345818,0.6392784119
40,16,0.3458030224,0.01543879509,0.665792942,0.6678309441
41,16,0.3710169792,0.01545810699,0.6458206177,0.6533782482
42,16,0.4015619755,0.01543521881,0.6849830151,0.6403632164
43,16,0.4125101566,0.01534223557,0.7039813995,0.6499698162
44,16,0.4103512764,0.01543712616,0.6909582615,0.703720808
45,32,0.7109260559,0.01529693604,1.218736887,1.281138182
46,32,0.7084424496,0.01527237892,1.242843866,1.283341169
47,32,0.751424551,0.01523089409,1.262013674,1.344685316
48,32,0.7112743855,0.01559042931,1.360123873,1.336774588
49,32,0.6763358116,0.01524448395,1.38687849,1.347973824
50,32,0.6365282536,0.015198946,1.344313145,1.347562551
51,32,0.6793854237,0.01523828506,1.277600765,1.334133863
52,32,0.7323522568,0.01529788971,1.533760548,1.344316959
53,32,0.7243409157,0.01558375359,1.3824687,1.343368292
54,64,1.364027739,0.01523399353,2.386862993,2.629523277
55,64,1.350297213,0.01541686058,2.458424091,2.683138609
56,64,1.3353827,0.01533031464,2.507421494,2.740614653
57,64,1.290070057,0.01523804665,2.423939466,3.010650635
58,64,1.28935957,0.01538920403,2.477891445,2.79799962
59,64,1.359498501,0.01528930664,2.42649579,2.868465662
60,64,1.360667229,0.01520872116,2.461253405,2.817940474
61,64,1.355076075,0.01540136337,2.502725124,2.83157897
62,64,1.344681978,0.01540279388,2.615500927,3.112036705
63,128,2.877120495,0.0154132843,5.092551231,5.440346003
64,128,2.883106709,0.01540970802,5.377766371,5.584196091
65,128,2.833689213,0.01524448395,5.429694176,5.824591398
66,128,2.820663929,0.01525497437,5.423124075,5.822952271
67,128,2.870228291,0.01557326317,5.445436716,5.830160379
68,128,2.881131649,0.0152721405,5.43031311,5.794388056
69,128,2.869940519,0.01550626755,5.648153067,6.651634932
70,128,2.897569895,0.01538395882,5.564458132,6.678730249
71,128,2.872029781,0.01550269127,5.422687054,5.779175758
